"Title","City","Library","Collection","Number","High Resolution","Digitization","Pinakes","Local catalog","Century","Subject theme","Subject name","Script","Bibliographic note 1","Bibliographic note 2","Bibliographic link"
"BAV Barb. gr. 120","Vatican","BAV","Barb. gr.","120","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.120","http://pinakes.irht.cnrs.fr/notices/cote/id/64668","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.120_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","16th","Philosophy","John Philoponus","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 124","Vatican","BAV","Barb. gr.","124","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.124","http://pinakes.irht.cnrs.fr/notices/cote/id/64672","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.124_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","15th","Philosophy","Gennadios II Scholarios","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 126","Vatican","BAV","Barb. gr.","126","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.126","http://pinakes.irht.cnrs.fr/notices/cote/id/64674","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.126_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","15th","Letters","","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 127","Vatican","BAV","Barb. gr.","127","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.127","http://pinakes.irht.cnrs.fr/notices/cote/id/64675","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.127_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","15th","Astronomy|Medicine","","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 128","Vatican","BAV","Barb. gr.","128","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.128","http://pinakes.irht.cnrs.fr/notices/cote/id/64676","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.128_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","15th","","Theognis","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 129","Vatican","BAV","Barb. gr.","129","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.129","http://pinakes.irht.cnrs.fr/notices/cote/id/64677","","16th","Mathematics","","","Codices Barberiniani graeci, vol. 1,�Codices 1�163, Valentinus Capocci, ed., Bibliothecae apostolicae vaticanae codices manu scripti recensiti (Vatican City: Bibliotheca apostolic vaticana, 1958)","","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.129_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040"
"BAV Barb. gr. 130","Vatican","BAV","Barb. gr.","130","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.130","http://pinakes.irht.cnrs.fr/notices/cote/id/64678","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.130_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","16th","","Homer","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 133","Vatican","BAV","Barb. gr.","133","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.133","http://pinakes.irht.cnrs.fr/notices/cote/id/64681","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.133_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","15th","Rhetoric","Aphthonius|Hermogenes|Hesiod","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 134","Vatican","BAV","Barb. gr.","134","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.134","http://pinakes.irht.cnrs.fr/notices/cote/id/64682","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.134_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","17th","Astronomy","","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 135","Vatican","BAV","Barb. gr.","135","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.135","http://pinakes.irht.cnrs.fr/notices/cote/id/64683","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.135_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","15th|16th","","Aeschylus","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 138","Vatican","BAV","Barb. gr.","138","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.138","http://pinakes.irht.cnrs.fr/notices/cote/id/64686","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.138_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","17th","Misc.","","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 139","Vatican","BAV","Barb. gr.","139","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.139","http://pinakes.irht.cnrs.fr/notices/cote/id/64687","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.139_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","15th|16th","Philosophy","Aristotle","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 140","Vatican","BAV","Barb. gr.","140","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.140","http://pinakes.irht.cnrs.fr/notices/cote/id/64688","","15th","Grammar","","","Codices Barberiniani graeci, vol. 1,�Codices 1�163, Valentinus Capocci, ed., Bibliothecae apostolicae vaticanae codices manu scripti recensiti (Vatican City: Bibliotheca apostolic vaticana, 1958)","","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.140_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040"
"BAV Barb. gr. 141","Vatican","BAV","Barb. gr.","141","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.141","http://pinakes.irht.cnrs.fr/notices/cote/id/64689","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.141_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","15th","Rhetoric","Hermogenes|Demosthenes|Libanius","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 142","Vatican","BAV","Barb. gr.","142","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.142","http://pinakes.irht.cnrs.fr/notices/cote/id/64690","","15th","","Apollonius","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.142_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040"
"BAV Barb. gr. 143","Vatican","BAV","Barb. gr.","143","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.143","http://pinakes.irht.cnrs.fr/notices/cote/id/64691","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.143_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","15th","","Apollonius","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
"BAV Barb. gr. 144","Vatican","BAV","Barb. gr.","144","Yes","http://digi.vatlib.it/view/MSS_Barb.gr.144","http://pinakes.irht.cnrs.fr/notices/cote/id/64692","http://www.mss.vatlib.it/guii/console?service=present&term=%405Barb.gr.144_ms&item=1&add=0&search=1&filter=&relation=3&operator=&attribute=3040","15th|16th","Geography","Eustathios of Thessaloniki|Dionysius Periegetes","","Biblioteca apostolica vaticana. Codices Barberiniani Graeci. [Citta? del Vaticano] : Bibliotheca Vaticana, 1958","",""
